id,seed,creation_mode,error_val,dem_fpr_val,dem_ppv_val,dem_pnr_val,error_tst,dem_fpr_tst,dem_ppv_tst,dem_pnr_tst,max_iter,tol,lambda,l1_ratio,class_weight
3NEHY3VH5F,103,inicialization,0.0,0.0,0.0,0.24786324786324787,0.10557280900008414,0.0,0.0,0.39819004524886875,100,0.0001,1,0,
0JI328AH5B,103,inicialization,0.03923107716947716,0.1111111111111111,0.19999999999999996,0.170940170940171,0.19377422517014498,0.0,0.0,0.22171945701357465,170,0.015237335595929768,59995.91797464196,0.7076179435647935,4
IOBCOGI7SL,103,inicialization,0.0,0.0,0.0,0.24786324786324787,0.1339745962155613,0.0,0.0,0.33936651583710403,100,0.0001,1,1,
FT5HGYSB94,103,inicialization,0.08013378899220014,0.2222222222222222,0.33333333333333337,0.09401709401709402,0.19377422517014498,0.0,0.0,0.22171945701357465,127,0.03946623634698344,81899.9089093237,0.44421356366434817,7
Y0CTIWAOPS,103,inicialization,0.32063377951324257,0.05555555555555558,0.2698412698412699,0.0854700854700855,0.3675444679663241,0.09523809523809523,0.275,0.17194570135746606,45,0.09505420570840636,83432.56520693959,0.899369614762638,3
ATJHTMBF5T,103,inicialization,0.03923107716947716,0.1111111111111111,0.19999999999999996,0.170940170940171,0.19377422517014498,0.0,0.0,0.22171945701357465,24,0.05339870763952565,4773.389440516156,0.7352882058458643,6
F1VYVG0IEO,103,inicialization,0.0,0.0,0.0,0.24786324786324787,0.16333997346592444,0.0,0.0,0.28054298642533937,48,0.021096281668600718,84873.36771939414,0.38664869722610873,4
37M7SC4JI0,103,inicialization,0.1229419806929708,0.3333333333333333,0.4285714285714286,0.017094017094017144,0.2062746066806228,0.42857142857142855,0.375,0.14932126696832582,112,0.09196167197888847,48122.48767594416,0.3480695195248974,8
K01SS8U0QR,103,inicialization,0.08013378899220014,0.2222222222222222,0.33333333333333337,0.09401709401709402,0.19377422517014498,0.0,0.0,0.22171945701357465,114,0.040032277771034325,59398.0930717802,0.32815695404043954,7
R8H6XPKBSO,103,inicialization,0.32063377951324257,0.05555555555555558,0.2698412698412699,0.0854700854700855,0.3675444679663241,0.09523809523809523,0.275,0.17194570135746606,112,0.09737862832616287,54028.6165465731,0.4073018409521185,3
JXQI278RNN,103,inicialization,0.03923107716947716,0.1111111111111111,0.19999999999999996,0.170940170940171,0.19377422517014498,0.0,0.0,0.22171945701357465,183,0.039278069199856776,19624.173673691013,0.2751369536749665,6
V7RYIS8LJO,103,crossover,0.0,0.0,0.0,0.24786324786324787,0.19377422517014498,0.0,0.0,0.22171945701357465,181,0.008800123925607684,32622.068626279568,0.23658734500000886,6
EL2CUSA8PP,103,inicialization,0.1229419806929708,0.3333333333333333,0.4285714285714286,0.017094017094017144,0.19377422517014498,0.0,0.0,0.22171945701357465,132,0.022982209874272536,38625.691069517365,0.5785186297030117,6
IBYDYE21XI,103,inicialization,0.08013378899220014,0.2222222222222222,0.33333333333333337,0.09401709401709402,0.19377422517014498,0.0,0.0,0.22171945701357465,134,0.040344230048679396,80167.98101936985,0.2748389261626015,7
HK9NYZBYOE,103,crossover,0.32063377951324257,0.05555555555555558,0.2698412698412699,0.0854700854700855,0.3675444679663241,0.09523809523809523,0.275,0.17194570135746606,91,0.09645578168036496,71836.2346861456,0.6796708427901824,3
HQ9XG2U3FP,103,inicialization,0.03923107716947716,0.1111111111111111,0.19999999999999996,0.170940170940171,0.19377422517014498,0.0,0.0,0.22171945701357465,89,0.03212246416064452,34996.353907570825,0.9510124637547569,6
RGDI8ID1JP,103,mutation,0.0,0.0,0.0,0.24786324786324787,0.19377422517014498,0.0,0.0,0.22171945701357465,104,0.006604634534950587,9735.101785359357,0.4192983578388278,
ZLLRX7C5WI,103,inicialization,0.1229419806929708,0.3333333333333333,0.4285714285714286,0.017094017094017144,0.2062746066806228,0.42857142857142855,0.375,0.14932126696832582,80,0.06315113526926523,6672.2460817293095,0.02813370989019326,8
86FR5O1W3E,103,inicialization,0.08013378899220014,0.2222222222222222,0.33333333333333337,0.09401709401709402,0.19377422517014498,0.0,0.0,0.22171945701357465,162,0.043368969808012116,19983.821018461862,0.8346153218645631,7
